utc_timestamp,Price_Day_Ahead_EUR_per_MWh,Load_MW,Supply_MW,Wind_Generation_MW,Solar_Generation_MW,temperature
2023-01-01T00:00:00+0200,87.29,24827.44,16918.46,6993,1285,21.5
2023-01-01T01:00:00+0200,106.08,19398.01,21723.88,4977,870,19.6
2023-01-01T02:00:00+0200,87.96,45289.57,13957.9,8972,1649,10.6
2023-01-01T03:00:00+0200,140.03,15891.19,45716.87,3330,3261,17.0
2023-01-01T04:00:00+0200,103.18,23506.59,31756.62,1244,3831,-0.5
2023-01-01T05:00:00+0200,106.27,29530.52,51666.32,1617,632,10.8
2023-01-01T06:00:00+0200,117.58,45616.62,48252.76,5269,127,17.6
2023-01-01T07:00:00+0200,62.85,16850.22,12371.19,1715,3936,34.5
2023-01-01T08:00:00+0200,51.9,30187.36,34430.38,5839,3296,-5.3
2023-01-01T09:00:00+0200,109.4,16080.7,18725.91,9021,512,17.1
2023-01-01T10:00:00+0200,127.96,14845.17,20681.42,2480,2706,8.5
2023-01-01T11:00:00+0200,72.0,39587.37,34213.47,9568,2816,21.3
2023-01-01T12:00:00+0200,45.81,38656.13,14864.94,9669,1037,26.8
2023-01-01T13:00:00+0200,34.17,27778.4,42179.14,9483,3850,15.3
2023-01-01T14:00:00+0200,136.85,18449.67,31868.92,6105,582,-9.1
2023-01-01T15:00:00+0200,32.77,39435.25,26932.03,3875,452,24.2
2023-01-01T16:00:00+0200,85.96,14716.0,31501.17,3831,1540,29.9
2023-01-01T17:00:00+0200,135.35,32318.69,31154.56,5171,890,27.7
2023-01-01T18:00:00+0200,51.83,45424.44,18345.7,5005,4248,10.5
2023-01-01T19:00:00+0200,131.54,20203.24,50900.01,6778,4321,11.5
2023-01-01T20:00:00+0200,141.26,41481.16,27200.73,849,2519,10.7
2023-01-01T21:00:00+0200,139.47,25686.65,35977.88,5770,2365,1.7
2023-01-01T22:00:00+0200,75.26,47013.74,39431.14,8417,1111,-4.5
2023-01-01T23:00:00+0200,98.4,33461.95,31814.41,8365,1318,7.1
2023-01-02T00:00:00+0200,146.77,46211.52,44888.52,7772,1658,12.6
2023-01-02T01:00:00+0200,104.49,26306.42,26990.49,4808,3507,23.2
2023-01-02T02:00:00+0200,142.5,34911.52,47111.35,4180,2396,22.7
2023-01-02T03:00:00+0200,90.62,16418.51,33407.91,6595,964,9.6
2023-01-02T04:00:00+0200,121.6,13977.11,19389.37,9651,41,29.5
2023-01-02T05:00:00+0200,43.19,16678.41,25990.79,1341,3173,3.6
2023-01-02T06:00:00+0200,83.39,11555.23,49017.42,4538,4655,4.1
2023-01-02T07:00:00+0200,58.83,44878.09,40159.62,2718,2110,33.0
2023-01-02T08:00:00+0200,126.69,36296.23,44231.55,3226,2879,19.8
2023-01-02T09:00:00+0200,39.59,30867.18,26765.48,429,1292,-0.1
2023-01-02T10:00:00+0200,39.18,35850.54,22776.49,7287,2415,8.5
2023-01-02T11:00:00+0200,81.23,19456.93,25929.6,7137,4613,3.5
2023-01-02T12:00:00+0200,119.08,18581.17,30583.9,4222,2123,10.2
2023-01-02T13:00:00+0200,83.92,39438.88,15689.22,3551,4610,22.2
2023-01-02T14:00:00+0200,38.02,39934.9,28533.41,9126,1351,7.2
2023-01-02T15:00:00+0200,65.45,43115.18,38008.3,6145,305,-6.4
2023-01-02T16:00:00+0200,146.08,39089.32,39457.9,1498,238,4.2
2023-01-02T17:00:00+0200,137.28,23764.5,33263.78,9142,3811,-1.2
2023-01-02T18:00:00+0200,34.76,14941.34,46555.17,1859,624,-6.9
2023-01-02T19:00:00+0200,55.78,48138.19,39282.77,8164,2606,25.1
2023-01-02T20:00:00+0200,80.01,18874.94,48300.22,8546,4469,3.3
2023-01-02T21:00:00+0200,104.01,31427.04,37282.4,3945,1274,19.4
2023-01-02T22:00:00+0200,51.86,36699.11,48108.67,8816,2313,-1.2
2023-01-02T23:00:00+0200,102.93,47928.46,41746.96,724,3378,-5.3
2023-01-03T00:00:00+0200,143.11,35602.92,40997.8,3107,4943,16.4
2023-01-03T01:00:00+0200,105.27,16316.72,32097.54,4228,4338,5.8
2023-01-03T02:00:00+0200,87.43,38952.73,51152.49,8646,1549,0.3
2023-01-03T03:00:00+0200,85.39,40120.96,48902.94,9345,3113,27.4
2023-01-03T04:00:00+0200,137.76,46998.06,23184.67,7924,2735,-6.0
2023-01-03T05:00:00+0200,45.16,27133.51,41725.77,3650,3854,14.4
2023-01-03T06:00:00+0200,146.82,30008.55,33089.56,3245,438,24.3
2023-01-03T07:00:00+0200,86.86,24462.58,27902.48,3918,240,24.0
2023-01-03T08:00:00+0200,42.62,25218.23,17623.74,2564,2568,9.9
2023-01-03T09:00:00+0200,117.29,29626.72,40844.54,978,179,32.9
2023-01-03T10:00:00+0200,40.35,28742.42,29919.93,5581,470,11.8
2023-01-03T11:00:00+0200,144.03,47930.05,51789.11,8775,2639,14.3
2023-01-03T12:00:00+0200,108.41,48461.75,26219.12,8426,2517,23.1
2023-01-03T13:00:00+0200,137.04,13084.64,44931.45,6872,903,16.5
2023-01-03T14:00:00+0200,108.68,42581.37,14474.33,3023,3749,34.3
2023-01-03T15:00:00+0200,105.75,22250.32,20734.14,43,4984,34.8
2023-01-03T16:00:00+0200,59.45,18246.94,35067.05,6173,1217,-4.2
2023-01-03T17:00:00+0200,139.18,31450.95,15116.28,3837,4892,19.6
2023-01-03T18:00:00+0200,98.27,28358.18,37212.79,4693,2459,7.9
2023-01-03T19:00:00+0200,70.56,33229.96,30709.29,5166,2110,0.3
2023-01-03T20:00:00+0200,133.59,44373.17,20808.07,5449,279,14.3
2023-01-03T21:00:00+0200,128.21,12606.61,42751.14,4593,4718,26.7
2023-01-03T22:00:00+0200,144.01,14284.23,45037.03,5078,1295,0.0
2023-01-03T23:00:00+0200,115.34,32049.44,47338.52,6548,4288,1.3
2023-01-04T00:00:00+0200,143.55,30505.18,38998.54,1292,1377,-2.1
2023-01-04T01:00:00+0200,58.61,36602.84,51159.18,2708,1005,8.7
2023-01-04T02:00:00+0200,130.15,33738.29,16487.93,1418,4140,29.1
2023-01-04T03:00:00+0200,72.61,27206.56,49720.67,3323,3449,-3.1
2023-01-04T04:00:00+0200,64.95,47456.04,41811.64,6756,2253,-0.2
2023-01-04T05:00:00+0200,35.65,44379.03,12732.77,8062,749,25.7
2023-01-04T06:00:00+0200,70.16,48677.78,18244.66,6592,2697,12.1
2023-01-04T07:00:00+0200,50.78,37203.39,20740.05,8615,2844,27.0
2023-01-04T08:00:00+0200,127.05,12462.69,18324.08,5493,4889,19.6
2023-01-04T09:00:00+0200,46.87,48369.15,24309.37,902,2890,-9.5
2023-01-04T10:00:00+0200,68.86,36990.44,15214.78,9665,1975,10.8
2023-01-04T11:00:00+0200,45.42,10816.82,41491.45,2,2876,7.0
